:reduce-and-map, :reduce-and-pmap, :r/fold-and-pmap, :r/fold
223, 77, 69, 210
216, 69, 69, 209
211, 78, 69, 207
217, 69, 66, 209
210, 65, 70, 204
210, 80, 64, 204
210, 72, 65, 205
213, 76, 65, 203
218, 66, 62, 204
217, 73, 77, 204
215, 75, 92, 232
221, 69, 77, 208
213, 67, 62, 211
212, 74, 68, 206
206, 70, 63, 208
209, 69, 76, 204
211, 72, 74, 205
208, 68, 69, 207
213, 69, 77, 209
215, 78, 69, 206
211, 72, 66, 203
214, 66, 64, 206
215, 65, 64, 206
220, 68, 64, 208
212, 71, 69, 210
206, 69, 66, 211
210, 68, 75, 208
204, 65, 82, 204
205, 65, 66, 200
205, 65, 67, 201
202, 67, 72, 199
205, 73, 62, 197
204, 78, 64, 202
202, 73, 64, 201
203, 69, 66, 200
208, 64, 61, 201
209, 70, 69, 215
212, 79, 78, 200
213, 73, 74, 213
204, 82, 68, 214
210, 69, 76, 206
213, 70, 69, 200
211, 77, 82, 215
224, 73, 76, 203
208, 82, 73, 200
212, 82, 68, 204
208, 75, 65, 212
212, 75, 63, 206
209, 70, 62, 206
209, 70, 64, 211
210, 68, 65, 209
208, 70, 70, 202
207, 71, 68, 206
211, 69, 67, 203
207, 65, 69, 204
206, 71, 63, 203
208, 72, 64, 206
208, 74, 67, 203
214, 71, 63, 211
208, 72, 69, 213
209, 69, 63, 207
209, 69, 63, 212
212, 68, 69, 200
204, 66, 66, 203
211, 73, 73, 205
207, 74, 64, 202
215, 67, 64, 205
212, 65, 62, 207
210, 65, 62, 205
209, 75, 68, 206
206, 75, 70, 209
208, 77, 71, 213
206, 103, 93, 211
213, 75, 79, 204
206, 85, 73, 203
213, 72, 74, 204
208, 75, 74, 203
210, 79, 71, 206
209, 75, 66, 208
210, 82, 70, 200
217, 75, 71, 203
211, 72, 67, 201
211, 72, 68, 235
208, 72, 67, 210
206, 74, 69, 210
209, 73, 73, 199
209, 78, 73, 198
205, 75, 73, 206
211, 80, 68, 204
214, 73, 70, 203
217, 73, 69, 208
219, 75, 69, 209
213, 80, 72, 213
212, 74, 75, 204
218, 71, 73, 209
208, 76, 73, 206
210, 82, 69, 206
211, 76, 69, 211
208, 76, 71, 211
211, 75, 69, 211
211, 71, 69, 211
209, 73, 75, 206
210, 75, 74, 205
210, 77, 73, 207
210, 72, 76, 206
211, 79, 70, 199
208, 82, 70, 204
215, 73, 69, 207
207, 85, 69, 205
205, 72, 73, 201
206, 73, 73, 206
207, 73, 83, 204
207, 80, 70, 201
211, 71, 68, 206
210, 70, 68, 211
210, 84, 67, 212
210, 77, 70, 211
206, 73, 76, 205
212, 76, 74, 209
212, 75, 75, 206
209, 82, 71, 205
210, 80, 70, 204
212, 80, 70, 208
212, 71, 70, 212
210, 72, 72, 211
207, 75, 70, 213
208, 71, 67, 209
206, 74, 73, 205
209, 76, 74, 200
224, 77, 73, 204
211, 79, 71, 202
213, 75, 69, 207
209, 71, 75, 203
207, 71, 73, 214
209, 85, 72, 206
208, 75, 71, 200
207, 75, 67, 202
209, 72, 67, 207
207, 78, 70, 208
205, 75, 71, 206
203, 71, 72, 201
205, 74, 73, 200
204, 74, 74, 204
209, 79, 68, 206
215, 74, 69, 205
204, 73, 73, 201
204, 71, 75, 205
206, 72, 74, 202
217, 88, 69, 205
211, 77, 68, 207
209, 77, 68, 206
208, 72, 68, 201
205, 75, 73, 209
207, 75, 75, 202
205, 71, 71, 206
205, 75, 74, 204
207, 77, 69, 206
206, 79, 69, 199
207, 81, 70, 203
213, 73, 69, 210
207, 72, 67, 212
206, 74, 69, 209
207, 73, 67, 206
205, 73, 72, 203
211, 72, 71, 204
211, 74, 75, 204
207, 78, 69, 206
210, 71, 67, 212
207, 73, 68, 207
209, 72, 69, 209
211, 76, 68, 210
206, 72, 71, 199
203, 74, 72, 201
208, 74, 73, 200
205, 87, 74, 202
205, 81, 73, 203
205, 77, 68, 199
210, 72, 67, 201
208, 72, 68, 209
206, 73, 72, 207
210, 71, 71, 205
207, 76, 73, 204
208, 74, 67, 205
211, 72, 67, 210
207, 77, 68, 206
208, 72, 69, 210
207, 74, 74, 202
207, 74, 72, 204
208, 70, 71, 203
207, 80, 67, 204
208, 75, 68, 205
213, 72, 67, 204
209, 70, 68, 211
212, 69, 69, 207
207, 74, 74, 203
204, 72, 74, 203
209, 73, 71, 203
210, 75, 66, 203
209, 80, 69, 201
206, 78, 68, 202
214, 71, 67, 199
207, 70, 68, 210
206, 73, 68, 208
205, 74, 68, 219
210, 77, 74, 208
210, 71, 71, 204
207, 75, 72, 202
210, 73, 73, 204
208, 81, 70, 203
207, 77, 68, 201
207, 79, 68, 202
215, 73, 67, 203
214, 71, 69, 203
215, 72, 69, 209
206, 77, 67, 210
204, 70, 66, 209
208, 74, 75, 204
209, 71, 74, 205
209, 73, 73, 204
208, 71, 73, 201
204, 75, 66, 200
212, 71, 66, 212
209, 73, 70, 207
210, 76, 69, 207
209, 73, 67, 211
209, 73, 74, 207
207, 74, 71, 204
211, 74, 74, 208
208, 82, 79, 214
213, 80, 67, 206
211, 83, 70, 205
216, 86, 69, 208
207, 75, 68, 211
207, 76, 68, 205
212, 75, 69, 211
210, 82, 78, 208
208, 71, 75, 205
209, 73, 72, 205
207, 74, 72, 205
208, 77, 69, 202
213, 70, 67, 214
211, 75, 70, 214
209, 86, 77, 211
210, 72, 68, 217
212, 75, 75, 202
208, 75, 73, 205
211, 88, 71, 205
207, 73, 74, 204
208, 80, 68, 203
210, 79, 71, 202
